Epoch,Loss,Accuracy,F1 Score,Precision,Recall,TP,TN,FP,FN
1,61.2259%,68.5233%,67.2060%,69.5742%,65.6818%,138563,150634,60387,72458
2,47.8474%,79.5456%,79.2745%,79.4845%,79.5854%,167952,167764,43257,43069
3,40.9857%,83.5869%,83.4110%,83.4770%,83.7942%,176827,175945,35076,34194
4,38.7401%,84.8432%,84.7011%,84.5835%,85.2637%,179900,178174,32847,31121
5,37.6766%,85.4972%,85.3426%,85.2540%,85.8521%,181168,179666,31355,29853
6,36.8658%,85.9260%,85.7874%,85.6688%,86.3146%,182147,180497,30524,28874
7,36.3040%,86.1895%,86.0410%,85.9608%,86.5193%,182594,181162,29859,28427
8,35.9019%,86.3893%,86.2466%,86.1820%,86.7168%,182962,181637,29384,28059
9,35.5751%,86.5575%,86.4102%,86.3591%,86.8520%,183268,182041,28980,27753
10,35.2551%,86.7421%,86.5869%,86.5566%,86.9885%,183594,182494,28527,27427
11,34.9682%,86.8496%,86.6979%,86.6570%,87.1017%,183799,182743,28278,27222
12,34.6719%,86.9684%,86.8187%,86.8479%,87.1659%,183923,183120,27901,27098
13,34.5013%,87.0946%,86.9546%,86.9657%,87.3227%,184229,183347,27674,26792
14,34.3112%,87.2081%,87.0645%,87.1271%,87.3818%,184327,183728,27293,26694
15,34.1268%,87.2733%,87.1041%,87.1524%,87.4232%,184510,183820,27201,26511
16,33.9843%,87.3430%,87.1808%,87.2662%,87.4596%,184555,184069,26952,26466
17,33.8013%,87.4084%,87.2476%,87.3105%,87.5304%,184696,184204,26817,26325
18,33.6624%,87.5133%,87.3580%,87.4429%,87.6330%,184914,184429,26592,26107
19,33.5361%,87.5989%,87.4359%,87.5226%,87.7026%,185052,184652,26369,25969
20,33.4067%,87.6301%,87.4804%,87.5613%,87.7507%,185150,184686,26335,25871
21,33.2585%,87.6650%,87.4986%,87.5899%,87.7638%,185194,184789,26232,25827
22,33.1193%,87.7718%,87.5989%,87.7665%,87.7814%,185259,185175,25846,25762
23,33.0779%,87.7754%,87.6202%,87.7466%,87.8448%,185342,185107,25914,25679
24,32.9136%,87.8396%,87.6866%,87.7975%,87.9211%,185494,185226,25795,25527
25,32.8063%,87.8946%,87.7377%,87.8712%,87.9402%,185539,185413,25608,25482
26,32.7770%,87.9356%,87.7638%,87.8799%,87.9990%,185709,185416,25605,25312
27,32.6346%,88.0280%,87.8634%,87.9938%,88.0871%,185874,185641,25380,25147
28,32.5338%,88.0384%,87.8789%,87.9992%,88.0997%,185898,185661,25360,25123
29,32.4862%,88.0633%,87.9040%,88.0489%,88.1034%,185913,185751,25270,25108
30,32.3719%,88.0941%,87.9163%,88.0594%,88.1242%,185969,185825,25196,25052
31,32.2854%,88.1445%,87.9845%,88.0970%,88.2202%,186146,185861,25160,24875
32,32.2261%,88.1758%,88.0030%,88.1527%,88.2044%,186143,185996,25025,24878
33,32.1212%,88.2095%,88.0513%,88.1629%,88.2770%,186291,185990,25031,24730
34,32.0941%,88.2201%,88.0500%,88.2022%,88.2201%,186181,186145,24876,24840
35,31.9984%,88.3066%,88.1424%,88.3160%,88.2984%,186343,186348,24673,24678
36,31.9696%,88.3298%,88.1792%,88.3151%,88.3716%,186474,186315,24706,24547
37,31.8935%,88.3410%,88.1768%,88.3155%,88.3821%,186484,186352,24669,24537
38,31.8184%,88.3663%,88.1921%,88.3803%,88.3382%,186432,186511,24510,24589
39,31.7829%,88.4289%,88.2719%,88.4468%,88.4236%,186578,186629,24392,24443
40,31.6825%,88.4680%,88.2974%,88.4650%,88.4621%,186705,186667,24354,24316
41,31.6475%,88.4741%,88.3208%,88.4604%,88.5021%,186768,186630,24391,24253
42,31.5972%,88.5028%,88.3466%,88.4998%,88.5327%,186824,186695,24326,24197
43,31.5007%,88.5123%,88.3359%,88.5363%,88.4668%,186723,186836,24185,24298
44,31.4851%,88.5327%,88.3530%,88.5130%,88.5215%,186824,186821,24200,24197
45,31.4502%,88.5611%,88.3912%,88.5660%,88.5485%,186844,186921,24100,24177
46,31.3632%,88.6123%,88.4545%,88.6167%,88.6218%,186987,186994,24027,24034
47,31.3253%,88.6353%,88.4854%,88.6417%,88.6591%,187071,187007,24014,23950
48,31.2560%,88.6457%,88.4916%,88.6250%,88.6786%,187108,187014,24007,23913
49,31.2490%,88.6457%,88.4853%,88.6476%,88.6533%,187059,187063,23958,23962
50,31.1988%,88.6815%,88.5187%,88.6714%,88.6943%,187148,187125,23896,23873
51,31.1112%,88.7262%,88.5737%,88.6949%,88.7714%,187311,187151,23870,23710
52,31.1032%,88.7450%,88.5840%,88.7466%,88.7413%,187273,187268,23753,23748
53,31.0075%,88.7630%,88.6119%,88.7568%,88.7862%,187360,187257,23764,23661
54,31.0039%,88.8336%,88.6952%,88.8648%,88.8519%,187450,187465,23556,23571
55,30.9517%,88.8068%,88.6443%,88.7809%,88.8286%,187437,187365,23656,23584
56,30.9504%,88.8267%,88.6676%,88.8202%,88.8426%,187488,187398,23623,23533
57,30.8462%,88.8447%,88.6764%,88.8130%,88.8515%,187524,187438,23583,23497
58,30.7830%,88.8622%,88.7071%,88.8221%,88.9033%,187624,187412,23609,23397
59,30.7695%,88.8933%,88.7279%,88.8600%,88.9120%,187636,187531,23490,23385
60,30.7405%,88.9108%,88.7515%,88.8899%,88.9302%,187668,187573,23448,23353
61,30.6985%,88.9400%,88.7867%,88.9362%,88.9550%,187715,187649,23372,23306
62,30.6825%,88.9362%,88.7760%,88.9344%,88.9417%,187677,187671,23350,23344
63,30.6347%,88.9570%,88.8029%,88.9270%,89.0030%,187801,187635,23386,23220
64,30.6248%,88.9795%,88.8320%,88.9792%,89.0107%,187804,187727,23294,23217
65,30.5709%,88.9760%,88.8163%,88.9622%,88.9940%,187793,187723,23298,23228
66,30.5523%,89.0272%,88.8730%,88.9825%,89.0853%,187994,187738,23283,23027
67,30.4703%,89.0250%,88.8650%,89.0061%,89.0339%,187898,187825,23196,23123
68,30.4287%,89.0698%,88.9157%,89.0299%,89.1157%,188071,187841,23180,22950
69,30.3966%,89.0959%,88.9376%,89.0815%,89.1140%,188057,187965,23056,22964
70,30.3846%,89.0902%,88.9465%,89.0648%,89.1424%,188095,187903,23118,22926
71,30.3808%,89.0992%,88.9531%,89.0466%,89.1849%,188167,187869,23152,22854
72,30.3283%,89.1302%,88.9774%,89.1378%,89.1274%,188081,188086,22935,22940
73,30.3409%,89.1151%,88.9684%,89.1056%,89.1410%,188101,188002,23019,22920
74,30.2679%,89.1764%,89.0351%,89.1553%,89.2298%,188271,188091,22930,22750
75,30.2306%,89.1606%,89.0192%,89.1852%,89.1676%,188155,188140,22881,22866
76,30.2113%,89.1835%,89.0373%,89.1417%,89.2424%,188319,188073,22948,22702
77,30.1663%,89.2233%,89.0701%,89.1973%,89.2554%,188336,188224,22797,22685
78,30.1006%,89.2335%,89.0779%,89.2079%,89.2612%,188361,188242,22779,22660
79,30.1148%,89.2425%,89.0889%,89.2458%,89.2509%,188329,188312,22709,22692
80,30.1229%,89.2184%,89.0674%,89.2288%,89.2259%,188301,188238,22783,22720
81,30.0519%,89.2940%,89.1473%,89.2713%,89.3382%,188504,188354,22667,22517
82,30.0136%,89.3262%,89.1830%,89.3236%,89.3443%,188534,188460,22561,22487
83,29.9799%,89.2767%,89.1228%,89.2615%,89.2935%,188428,188357,22664,22593
84,29.9942%,89.3034%,89.1506%,89.2784%,89.3362%,188518,188380,22641,22503
85,29.9448%,89.2930%,89.1391%,89.2881%,89.3007%,188431,188423,22598,22590
86,29.8890%,89.3368%,89.1853%,89.3170%,89.3615%,188587,188452,22569,22434
87,29.8696%,89.3582%,89.1982%,89.3327%,89.3740%,188625,188504,22517,22396
88,29.8824%,89.3691%,89.2295%,89.3565%,89.4151%,188651,188524,22497,22370
89,29.8444%,89.3639%,89.2094%,89.3589%,89.3730%,188598,188555,22466,22423
90,29.8285%,89.3567%,89.2098%,89.3416%,89.3943%,188618,188505,22516,22403
91,29.8358%,89.4096%,89.2497%,89.3852%,89.4176%,188710,188636,22385,22311
92,29.7777%,89.4060%,89.2490%,89.4039%,89.3900%,188668,188663,22358,22353
93,29.7894%,89.4373%,89.2929%,89.4330%,89.4633%,188761,188702,22319,22260
94,29.7237%,89.4236%,89.2767%,89.4058%,89.4484%,188756,188649,22372,22265
95,29.7402%,89.4506%,89.2981%,89.4262%,89.4846%,188838,188681,22340,22183
96,29.6473%,89.4591%,89.3102%,89.4598%,89.4736%,188778,188777,22244,22243
97,29.6591%,89.4541%,89.3055%,89.4561%,89.4566%,188790,188744,22277,22231
98,29.6174%,89.4210%,89.2699%,89.3912%,89.4602%,188770,188624,22397,22251
99,29.6178%,89.4949%,89.3410%,89.4707%,89.5215%,188912,188794,22227,22109
100,29.5901%,89.5032%,89.3518%,89.4912%,89.5220%,188918,188823,22198,22103
101,29.6066%,89.5138%,89.3638%,89.4889%,89.5396%,188938,188848,22173,22083
102,29.5386%,89.4781%,89.3299%,89.4410%,89.5226%,188909,188726,22295,22112
103,29.5504%,89.4852%,89.3405%,89.4866%,89.5090%,188858,188807,22214,22163
104,29.5306%,89.5387%,89.3827%,89.5207%,89.5592%,189005,188886,22135,22016
105,29.4864%,89.5759%,89.4253%,89.5449%,89.6027%,189099,188949,22072,21922
106,29.4559%,89.5771%,89.4370%,89.5638%,89.6147%,189079,188974,22047,21942
107,29.4855%,89.5518%,89.3978%,89.5567%,89.5449%,188963,188983,22038,22058
108,29.4685%,89.5615%,89.4199%,89.5319%,89.6146%,189095,188892,22129,21926
109,29.3842%,89.5721%,89.4372%,89.5568%,89.6238%,189087,188945,22076,21934
110,29.4143%,89.6098%,89.4680%,89.5931%,89.6377%,189162,189029,21992,21859
111,29.4101%,89.5958%,89.4426%,89.6118%,89.5858%,189049,189083,21938,21972
112,29.3672%,89.5994%,89.4459%,89.5722%,89.6150%,189108,189039,21982,21913
113,29.3038%,89.6062%,89.4570%,89.5817%,89.6330%,189163,189013,22008,21858
114,29.3266%,89.6013%,89.4412%,89.5709%,89.6155%,189131,189024,21997,21890
115,29.3154%,89.6079%,89.4664%,89.5985%,89.6430%,189136,189047,21974,21885
116,29.2564%,89.6546%,89.5105%,89.6399%,89.6831%,189239,189141,21880,21782
117,29.2790%,89.6494%,89.5009%,89.6252%,89.6793%,189250,189108,21913,21771
118,29.2259%,89.6849%,89.5423%,89.6566%,89.7247%,189328,189180,21841,21693
