Epoch,Loss,Accuracy,F1 Score,Precision,Recall,TP,TN,FP,FN
1,55.6258%,73.9858%,73.3620%,75.3298%,72.1773%,151710,159384,50855,58529
2,42.5901%,82.9273%,82.3800%,84.1300%,81.1587%,170642,178049,32190,39597
3,38.1905%,85.3657%,84.9759%,86.2844%,84.1075%,176823,182121,28118,33416
4,36.3712%,86.4366%,86.0847%,87.2570%,85.3320%,179418,184029,26210,30821
5,35.4217%,86.8963%,86.5738%,87.6696%,85.8886%,180573,184807,25432,29666
6,34.7865%,87.2412%,86.9309%,87.9126%,86.3309%,181513,185317,24922,28726
7,34.2777%,87.5135%,87.2279%,88.1918%,86.6510%,182160,185815,24424,28079
8,33.9197%,87.7080%,87.4413%,88.3147%,86.9548%,182785,186008,24231,27454
9,33.5253%,87.8695%,87.6011%,88.4805%,87.0864%,183096,186376,23863,27143
10,33.2786%,88.0132%,87.7465%,88.5938%,87.2623%,183459,186617,23622,26780
11,32.9717%,88.1630%,87.9131%,88.7438%,87.4530%,183828,186878,23361,26411
12,32.7866%,88.2125%,87.9579%,88.7715%,87.5061%,183965,186949,23290,26274
13,32.6159%,88.3428%,88.0786%,88.8914%,87.6197%,184239,187223,23016,26000
14,32.4438%,88.4222%,88.1707%,88.9662%,87.7290%,184431,187365,22874,25808
15,32.2525%,88.5414%,88.3080%,89.0805%,87.8803%,184742,187555,22684,25497
16,32.0586%,88.5647%,88.3193%,89.0597%,87.9283%,184861,187534,22705,25378
17,31.9066%,88.6327%,88.3879%,89.1477%,87.9667%,184966,187715,22524,25273
18,31.8225%,88.6731%,88.4449%,89.2037%,88.0247%,185047,187804,22435,25192
19,31.6940%,88.7452%,88.5106%,89.2775%,88.0825%,185197,187957,22282,25042
20,31.5422%,88.8144%,88.5909%,89.3165%,88.2033%,185413,188032,22207,24826
21,31.4877%,88.8439%,88.5947%,89.3515%,88.1712%,185420,188149,22090,24819
22,31.3421%,88.9071%,88.6697%,89.3931%,88.2785%,185590,188245,21994,24649
23,31.2616%,88.9393%,88.7144%,89.4399%,88.3269%,185699,188271,21968,24540
24,31.1771%,88.9690%,88.7384%,89.4765%,88.3351%,185709,188386,21853,24530
25,31.0678%,89.0456%,88.8319%,89.5599%,88.4385%,185899,188518,21721,24340
26,30.9626%,89.1105%,88.8943%,89.5909%,88.5230%,186083,188607,21632,24156
27,30.8917%,89.1326%,88.9135%,89.6229%,88.5340%,186110,188673,21566,24129
28,30.8727%,89.1495%,88.9251%,89.5846%,88.5860%,186253,188601,21638,23986
29,30.7393%,89.1873%,88.9701%,89.6271%,88.6342%,186339,188674,21565,23900
30,30.6391%,89.2506%,89.0293%,89.6925%,88.6862%,186454,188825,21414,23785
31,30.5850%,89.2981%,89.0835%,89.7513%,88.7329%,186560,188919,21320,23679
32,30.5292%,89.3098%,89.0925%,89.7636%,88.7462%,186583,188945,21294,23656
33,30.4163%,89.3564%,89.1309%,89.7739%,88.8010%,186717,189007,21232,23522
34,30.4025%,89.3597%,89.1346%,89.8049%,88.7851%,186663,189075,21164,23576
35,30.3773%,89.3980%,89.1823%,89.8226%,88.8569%,186814,189085,21154,23425
36,30.2819%,89.4194%,89.1946%,89.8637%,88.8445%,186782,189207,21032,23457
37,30.2349%,89.4361%,89.2198%,89.8696%,88.8706%,186842,189217,21022,23397
38,30.1396%,89.5067%,89.2846%,89.9325%,88.9469%,187029,189327,20912,23210
39,30.0833%,89.5410%,89.3305%,89.9551%,89.0250%,187159,189341,20898,23080
40,30.0568%,89.5038%,89.2911%,89.8967%,88.9919%,187102,189242,20997,23137
41,29.9881%,89.5840%,89.3826%,89.9698%,89.1094%,187319,189362,20877,22920
42,29.9669%,89.5738%,89.3666%,89.9858%,89.0562%,187250,189388,20851,22989
43,29.9091%,89.6244%,89.4208%,90.0065%,89.1440%,187414,189437,20802,22825
44,29.8576%,89.6582%,89.4552%,90.0381%,89.1664%,187464,189529,20710,22775
45,29.7951%,89.6737%,89.4787%,90.0914%,89.1716%,187452,189606,20633,22787
46,29.7678%,89.6753%,89.4752%,90.1096%,89.1515%,187420,189645,20594,22819
47,29.7329%,89.6891%,89.4792%,90.0750%,89.1896%,187525,189598,20641,22714
48,29.6660%,89.7160%,89.5151%,90.1038%,89.2344%,187629,189607,20632,22610
49,29.6951%,89.6844%,89.4851%,90.1553%,89.1284%,187345,189758,20481,22894
50,29.6009%,89.7524%,89.5560%,90.1247%,89.2817%,187697,189692,20547,22542
51,29.5676%,89.7609%,89.5650%,90.1679%,89.2594%,187651,189774,20465,22588
52,29.5414%,89.7721%,89.5801%,90.1666%,89.2897%,187715,189757,20482,22524
53,29.4743%,89.7919%,89.5960%,90.2149%,89.2829%,187697,189858,20381,22542
54,29.5009%,89.8087%,89.5982%,90.2820%,89.2328%,187597,190029,20210,22642
55,29.4233%,89.8175%,89.6168%,90.2230%,89.3223%,187793,189870,20369,22446
56,29.3693%,89.8620%,89.6579%,90.2602%,89.3623%,187887,189963,20276,22352
57,29.3434%,89.8701%,89.6782%,90.2383%,89.4188%,187980,189904,20335,22259
58,29.3298%,89.9024%,89.6939%,90.2741%,89.4139%,188013,190007,20232,22226
59,29.2731%,89.8806%,89.6719%,90.2541%,89.3935%,187959,189969,20270,22280
60,29.2618%,89.9215%,89.7245%,90.3406%,89.4219%,188000,190100,20139,22239
61,29.2053%,89.9400%,89.7436%,90.3394%,89.4542%,188059,190119,20120,22180
62,29.1667%,89.9621%,89.7720%,90.3549%,89.4867%,188119,190152,20087,22120
63,29.2351%,89.8936%,89.6930%,90.3339%,89.3623%,187898,190085,20154,22341
64,29.1250%,89.9664%,89.7737%,90.3304%,89.5206%,188178,190111,20128,22061
65,29.0977%,89.9588%,89.7639%,90.3392%,89.4904%,188155,190102,20137,22084
66,29.0659%,89.9897%,89.8003%,90.3715%,89.5284%,188211,190176,20063,22028
67,29.0441%,90.0045%,89.8173%,90.3753%,89.5607%,188269,190180,20059,21970
68,29.0027%,90.0211%,89.8329%,90.3942%,89.5766%,188316,190203,20036,21923
69,28.9826%,90.0102%,89.8205%,90.3589%,89.5786%,188338,190135,20104,21901
70,28.9391%,90.0042%,89.8073%,90.3804%,89.5320%,188239,190209,20030,22000
71,28.9374%,90.0271%,89.8270%,90.3428%,89.6070%,188416,190128,20111,21823
72,28.9164%,90.0535%,89.8716%,90.4121%,89.6275%,188407,190248,19991,21832
73,28.8633%,90.0706%,89.8865%,90.4232%,89.6434%,188470,190257,19982,21769
74,28.8969%,90.0896%,89.8978%,90.4573%,89.6293%,188438,190369,19870,21801
75,28.8480%,90.0834%,89.9021%,90.4845%,89.6207%,188401,190380,19859,21838
76,28.8142%,90.1105%,89.9275%,90.4715%,89.6792%,188523,190372,19867,21716
77,28.8024%,90.0837%,89.8961%,90.4424%,89.6434%,188446,190336,19903,21793
78,28.7892%,90.1410%,89.9453%,90.4734%,89.7118%,188618,190405,19834,21621
79,28.7618%,90.1441%,89.9440%,90.5244%,89.6603%,188524,190512,19727,21715
80,28.6988%,90.1434%,89.9546%,90.5129%,89.7039%,188588,190445,19794,21651
81,28.6490%,90.1683%,89.9819%,90.5408%,89.7137%,188625,190513,19726,21614
82,28.6676%,90.1379%,89.9492%,90.5035%,89.6836%,188546,190464,19775,21693
83,28.6697%,90.1624%,89.9623%,90.5326%,89.6890%,188596,190517,19722,21643
84,28.6433%,90.1617%,89.9758%,90.5373%,89.6990%,188600,190510,19729,21639
85,28.6020%,90.1902%,90.0151%,90.5601%,89.7586%,188666,190564,19675,21573
86,28.5929%,90.1446%,89.9466%,90.4969%,89.6914%,188587,190451,19788,21652
87,28.5836%,90.2016%,90.0132%,90.5598%,89.7531%,188699,190579,19660,21540
88,28.5177%,90.2271%,90.0417%,90.5588%,89.8118%,188811,190574,19665,21428
89,28.5205%,90.2221%,90.0489%,90.5805%,89.8120%,188771,190593,19646,21468
90,28.5058%,90.2418%,90.0531%,90.6132%,89.7849%,188778,190669,19570,21461
91,28.4630%,90.2561%,90.0782%,90.6101%,89.8393%,188855,190652,19587,21384
92,28.5038%,90.2045%,90.0153%,90.5556%,89.7638%,188727,190563,19676,21512
93,28.4711%,90.2392%,90.0583%,90.6294%,89.7864%,188738,190698,19541,21501
94,28.4859%,90.2611%,90.0753%,90.6058%,89.8284%,188861,190667,19572,21378
95,28.3846%,90.2984%,90.1107%,90.6390%,89.8697%,188950,190735,19504,21289
96,28.4225%,90.2687%,90.0969%,90.6572%,89.8339%,188807,190753,19486,21432
97,28.3534%,90.2989%,90.1171%,90.6612%,89.8645%,188918,190769,19470,21321
98,28.3506%,90.2910%,90.0962%,90.6348%,89.8483%,188913,190741,19498,21326
