Epoch,Loss,Accuracy,F1 Score,Precision,Recall,TP,TN,FP,FN
1,31.7811%,88.4192%,88.2976%,88.5634%,88.2403%,186202,186964,24057,24819
2,29.1333%,89.7678%,89.6776%,89.9529%,89.5707%,188996,189862,21159,22025
3,28.3942%,90.1358%,90.0450%,90.3087%,89.9465%,189786,190625,20396,21235
4,27.8494%,90.4137%,90.3287%,90.5161%,90.2872%,190541,191043,19978,20480
5,27.5124%,90.5277%,90.4396%,90.6729%,90.3497%,190658,191407,19614,20363
6,27.1296%,90.7118%,90.6315%,90.8164%,90.5900%,191165,191677,19344,19856
7,26.8040%,90.8490%,90.7711%,90.9753%,90.7023%,191402,192019,19002,19619
8,26.5778%,90.9000%,90.8265%,91.0039%,90.7896%,191578,192058,18963,19443
9,26.3000%,91.0774%,91.0082%,91.2064%,90.9427%,191892,192493,18528,19129
10,26.0867%,91.1566%,91.0794%,91.2742%,91.0177%,192074,192645,18376,18947
11,25.8238%,91.2712%,91.1905%,91.3935%,91.1243%,192281,192922,18099,18740
12,25.7323%,91.3049%,91.2395%,91.4082%,91.1951%,192437,192908,18113,18584
13,25.4987%,91.4011%,91.3304%,91.4728%,91.3087%,192665,193086,17935,18356
14,25.3484%,91.4591%,91.3885%,91.5226%,91.3808%,192828,193168,17853,18193
15,25.6537%,91.3312%,91.2666%,91.3976%,91.2754%,192601,192855,18166,18420
16,25.0107%,91.5404%,91.4797%,91.6230%,91.4586%,192971,193368,17653,18050
17,24.9279%,91.6053%,91.5361%,91.6368%,91.5599%,193220,193393,17628,17801
18,24.7344%,91.6610%,91.5917%,91.7109%,91.5945%,193297,193551,17470,17724
19,24.6678%,91.7269%,91.6555%,91.7776%,91.6579%,193416,193710,17311,17605
20,24.4406%,91.7717%,91.7074%,91.8119%,91.7238%,193561,193754,17267,17460
21,24.3162%,91.8174%,91.7547%,91.8168%,91.8128%,193751,193757,17264,17270
22,24.2567%,91.8638%,91.8017%,91.9157%,91.8089%,193732,193972,17049,17289
23,24.2272%,91.8501%,91.7920%,91.8946%,91.8127%,193736,193910,17111,17285
24,23.9891%,91.9065%,91.8453%,91.9105%,91.8994%,193927,193957,17064,17094
25,23.9414%,91.9089%,91.8485%,91.9182%,91.8992%,193931,193963,17058,17090
26,23.8518%,91.9882%,91.9240%,92.0165%,91.9524%,194037,194192,16829,16984
27,23.8634%,91.9610%,91.8942%,91.9892%,91.9194%,193997,194117,16904,17024
28,23.8854%,91.9399%,91.8813%,91.9336%,91.9452%,194031,193994,17027,16990
29,23.6124%,92.0098%,91.9550%,92.0026%,92.0298%,194194,194126,16895,16827
