Epoch,Loss,Accuracy,F1 Score,Precision,Recall,TP,TN,FP,FN
1,30.1393%,89.4863%,89.3280%,90.0911%,88.7487%,186597,189673,20566,23642
2,28.2200%,90.4180%,90.2927%,90.8724%,89.8618%,188929,191259,18980,21310
3,27.7473%,90.6133%,90.4893%,91.0863%,90.0404%,189301,191708,18531,20938
4,27.6071%,90.6687%,90.5402%,91.2142%,90.0285%,189259,191983,18256,20980
5,27.1163%,90.9111%,90.7832%,91.4245%,90.2859%,189834,192427,17812,20405
6,26.9853%,90.8949%,90.7620%,91.4858%,90.1919%,189631,192562,17677,20608
7,26.6981%,91.0433%,90.9257%,91.5130%,90.4788%,190218,192599,17640,20021
8,26.4585%,91.1387%,91.0253%,91.5926%,90.5953%,190476,192742,17497,19763
9,26.5064%,91.1146%,90.9945%,91.6158%,90.5171%,190307,192810,17429,19932
10,26.1344%,91.2968%,91.1861%,91.7114%,90.7912%,190887,192996,17243,19352
11,26.0199%,91.3477%,91.2491%,91.7627%,90.8658%,191033,193064,17175,19206
12,25.8407%,91.4129%,91.3102%,91.8129%,90.9405%,191195,193176,17063,19044
13,25.6623%,91.5025%,91.3948%,91.9089%,91.0161%,191362,193386,16853,18877
14,25.5076%,91.5399%,91.4392%,91.9782%,91.0310%,191372,193533,16706,18867
15,25.4407%,91.5744%,91.4752%,91.9767%,91.1036%,191533,193517,16722,18706
16,25.2738%,91.6300%,91.5295%,92.0279%,91.1655%,191652,193632,16607,18587
17,25.0688%,91.7066%,91.6166%,92.0706%,91.2868%,191909,193697,16542,18330
18,25.0018%,91.7223%,91.6296%,92.0564%,91.3287%,192018,193654,16585,18221
19,24.9921%,91.7351%,91.6345%,92.1374%,91.2612%,191858,193868,16371,18381
20,25.0519%,91.6095%,91.4795%,92.3012%,90.8025%,190911,194287,15952,19328
21,24.8595%,91.7373%,91.6322%,92.2320%,91.1602%,191653,194082,16157,18586
22,24.9845%,91.6585%,91.5513%,92.1516%,91.0831%,191497,193907,16332,18742
23,24.8102%,91.8000%,91.7059%,92.1667%,91.3693%,192095,193904,16335,18144
24,24.6658%,91.8512%,91.7597%,92.1919%,91.4521%,192274,193940,16299,17965
25,24.4582%,91.9399%,91.8540%,92.2674%,91.5685%,192508,194079,16160,17731
26,24.4347%,91.9477%,91.8562%,92.2630%,91.5674%,192519,194101,16138,17720
27,24.2956%,91.9632%,91.8741%,92.2909%,91.5805%,192533,194152,16087,17706
28,24.2316%,92.0029%,91.9113%,92.3047%,91.6422%,192676,194176,16063,17563
29,24.1861%,92.0177%,91.9303%,92.3485%,91.6349%,192644,194270,15969,17595
30,24.3532%,91.8897%,91.7989%,92.3192%,91.4062%,192158,194218,16021,18081
31,24.4836%,91.7796%,91.6744%,92.2038%,91.2751%,191901,194012,16227,18338
32,24.2047%,91.9632%,91.8718%,92.2992%,91.5694%,192520,194165,16074,17719
33,24.0691%,92.0260%,91.9495%,92.2570%,91.7640%,192923,194026,16213,17316
34,23.9797%,92.0248%,91.9375%,92.2860%,91.7066%,192819,194125,16114,17420
