,0,1
0,enggak,tidak
1,cuman,cuma
2,trimakasih,terima kasih
3,brang,barang
4,thx you,terima kasih
5,thx,terima kasih
6,thank you,terima kasih
7,thank,terima kasih
8,thankyou,terima kasih
9,thankz you,terima kasih
10,thankz,terima kasih
11,mkasih,terima kasih
12,makasih,terima kasih
13,makas,terima kasih
14,makasihh,terima kasih
15,terimakasi,terima kasih
16,trimakasi,terima kasih
17,trmksh,terima kasih
18,makasii,terima kasih
19,makash,teirma kasih
20,mks,terima kasih
21,mksi,terima kasih
22,brng,barang
23,dtng,datang
24,syuka,suka
25,recomended,rekomendasi
26,tks,terima kasih
27,wrna,warna
28,tq,terima kasih
29,bahanya,bahannya
30,recommended,rekomendasi
31,mantab,mantap
32,mantul,mantap betul
33,mantull,mantap betul
34,mantaf,mantap
35,mantuul,mantap betul
36,mntul,mantap betul
37,paking,packing
38,tak,tidak
39,kulir,kurir
40,dngn,dengan
41,markotop,mantap
42,ngecewain,mengecewakan
43,pket,paket
44,blanja,belanja
45,kwalitas,kualitas
46,sesuay,sesuai
47,sesui,sesuai
48,gmbar,gambar
49,nyampe,sampai
50,hrg,harga
51,peking,packing
52,psen,pesen
53,pngiriman,pengiriman
54,dtang,datang
55,gmbr,gambar
56,pengirimanya,pengirimannya
57,brngnya,barangnya
58,nyampek,sampai
59,ssuai,sesuai
60,cpat,cepai
61,barangx,barangnya
62,tanks,terima kasih
63,puass,puas
64,baguus,bagus
65,lajada,lazada
66,sngat,sangat
67,mesan,pesan
68,nyampai,sampai
69,mntap,mantap
70,psn,pesan
71,pungsi,fungsi
72,abng,bang
73,bguss,bagus
74,pengin,ingin
75,lngganan,langganan
76,trm,terima
77,pkonya,pokoknya
78,alhmdulilah,alhamdulillah
79,recomend,rekomendasi
80,psanan,pesanan
81,ramahh,ramah
82,okk,oke
83,syukaa,suka
84,sgitu,segitu
85,lmyan,lumayan
86,rekomen,rekomendasi
87,kagak,tidak
88,trimksh,terima kasih
89,trma,terima
90,dengn,dengan
91,bangus,bagus
92,thanx you,terima kasih
93,thanx,terima kasih
94,lmyn,lumayan
95,maksh,terima kasih
96,mkasi,terima kasih
97,terimah,terima
